b'366180',1668295469.4140208,1
b'366180',1668295537.8056595,1
b'366180',1668295613.2758462,1
b'400718',1668295660.9045641,1
b'366180',1668295676.7723875,1
b'366180',1668295813.3070872,1
b'400718',1668295837.3656435,1
b'366180',1668295886.8605065,1
b'400718',1668295899.284498,1
b'366180',1668295947.4727514,1
b'400718',1668295959.7782624,1
b'400718',1668295999.8566072,1
b'366180',1668296005.5051322,1
b'400718',1668296063.214225,1
b'366180',1668296068.6002562,1
b'400718',1668296135.1507046,1
b'366180',1668296159.9928706,1
b'366180',1668296311.661344,1
b'400718',1668296317.3700552,1
b'366180',1668296392.02154,1
b'400718',1668296403.0955071,1
b'3661',1668296492.4367855,1
b'366180',1668296492.938526,1
b'400718',1668296504.742578,1
b'366180',1668296562.1824667,1
b'400718',1668296572.2492526,1
b'366180',1668296586.499,1
b'400718',1668296595.7106683,1
b'366180',1668296614.3412013,1
b'60718',1668296622.0035918,1
b'400718',1668296622.4362364,1
b'366180',1668296705.5755785,1
b'400718',1668296719.1343913,1
b'366180',1668296731.2005904,1
b'400718',1668296742.705045,1
b'366180',1668296752.1156723,1
